ts,reconstruction_error,anomaly
2023-03-09 23:52:50,0.3773785,0
2023-03-09 23:52:51,0.36624464,0
2023-03-09 23:52:52,0.36170027,0
2023-03-09 23:52:53,0.35669369,0
2023-03-09 23:52:54,0.3527764,0
2023-03-09 23:52:55,0.34795263,0
2023-03-09 23:52:56,0.34982988,0
2023-03-09 23:52:57,0.33255786,0
2023-03-09 23:52:58,0.34378383,0
2023-03-09 23:52:59,0.35760763,0
2023-03-09 23:53:00,0.4015354,0
2023-03-09 23:53:01,0.3762836,0
2023-03-09 23:53:02,0.4042638,0
2023-03-09 23:53:03,0.43780777,0
2023-03-09 23:53:04,0.4215857,0
2023-03-09 23:53:05,0.46841544,0
2023-03-09 23:53:06,0.48574513,0
2023-03-09 23:53:07,0.42855436,0
2023-03-09 23:53:08,0.4163249,0
2023-03-09 23:53:09,0.38408926,0
2023-03-09 23:53:10,0.34733102,0
2023-03-09 23:53:11,0.36809984,0
2023-03-09 23:53:12,0.37735355,0
2023-03-09 23:53:13,0.35739946,0
2023-03-09 23:53:14,0.36316836,0
2023-03-09 23:53:15,0.34322703,0
2023-03-09 23:53:16,0.3522578,0
2023-03-09 23:53:17,0.34993356,0
2023-03-09 23:53:18,0.3493226,0
2023-03-09 23:53:19,0.35858056,0
2023-03-09 23:53:20,0.3639086,0
2023-03-09 23:53:21,0.3631294,0
2023-03-09 23:53:22,0.3532461,0
2023-03-09 23:53:23,0.35263917,0
2023-03-09 23:53:24,0.3565823,0
2023-03-09 23:53:25,0.37788078,0
2023-03-09 23:53:26,0.37778446,0
2023-03-09 23:53:27,0.38350862,0
2023-03-09 23:53:28,0.384773,0
2023-03-09 23:53:29,0.38068488,0
2023-03-09 23:53:30,0.39021647,0
2023-03-09 23:53:31,0.39535585,0
2023-03-09 23:53:32,0.3879172,0
2023-03-09 23:53:33,0.3948471,0
2023-03-09 23:53:34,0.3917213,0
2023-03-09 23:53:35,0.3847891,0
2023-03-09 23:53:36,0.37652013,0
2023-03-09 23:53:37,0.37855896,0
2023-03-09 23:53:38,0.36944622,0
2023-03-09 23:53:39,0.36966687,0
2023-03-09 23:53:40,0.3649866,0
2023-03-09 23:53:41,0.37571332,0
2023-03-09 23:53:42,0.37013716,0
2023-03-09 23:53:43,0.36495402,0
2023-03-09 23:53:44,0.3702982,0
2023-03-09 23:53:45,0.3616988,0
2023-03-09 23:53:46,0.35920885,0
2023-03-09 23:53:47,0.35156503,0
2023-03-09 23:53:48,0.35277387,0
2023-03-09 23:53:49,0.37029994,0
2023-03-09 23:53:50,0.3542846,0
2023-03-09 23:53:51,0.3643006,0
2023-03-09 23:53:52,0.35501057,0
2023-03-09 23:53:53,0.37060416,0
2023-03-09 23:53:54,0.3648258,0
2023-03-09 23:53:55,0.36437276,0
2023-03-09 23:53:56,0.3594062,0
2023-03-09 23:53:57,0.3780805,0
2023-03-09 23:53:58,0.34980023,0
2023-03-09 23:53:59,0.342274,0
2023-03-09 23:54:00,0.37014073,0
2023-03-09 23:54:01,0.37756485,0
2023-03-09 23:54:02,0.36840245,0
2023-03-09 23:54:03,0.38587517,0
2023-03-09 23:54:04,0.3833148,0
2023-03-09 23:54:05,0.39006546,0
2023-03-09 23:54:06,0.39354664,0
2023-03-09 23:54:07,0.38551527,0
2023-03-09 23:54:08,0.36180454,0
2023-03-09 23:54:09,0.35894048,0
2023-03-09 23:54:10,0.44080448,0
2023-03-09 23:54:11,0.44106087,0
2023-03-09 23:54:12,0.42915043,0
2023-03-09 23:54:13,0.4424302,0
2023-03-09 23:54:14,0.4683733,0
2023-03-09 23:54:15,0.5054684,0
2023-03-09 23:54:16,0.50705093,0
2023-03-09 23:54:17,0.5036957,0
2023-03-09 23:54:18,0.45745367,0
2023-03-09 23:54:19,0.49896684,0
2023-03-09 23:54:20,0.36408937,0
2023-03-09 23:54:21,0.36354476,0
2023-03-09 23:54:22,0.40455785,0
2023-03-09 23:54:23,0.39348757,0
2023-03-09 23:54:24,0.38030112,0
2023-03-09 23:54:25,0.39926198,0
2023-03-09 23:54:26,0.40600172,0
2023-03-09 23:54:27,0.4264275,0
2023-03-09 23:54:28,0.43235126,0
2023-03-09 23:54:29,0.4587367,0
2023-03-09 23:54:30,0.45367205,0
2023-03-09 23:54:31,0.457789,0
2023-03-09 23:54:32,0.4483968,0
2023-03-09 23:54:33,0.5648095,0
2023-03-09 23:54:34,0.55493826,0
2023-03-09 23:54:35,0.5285606,0
2023-03-09 23:54:36,0.5123406,0
2023-03-09 23:54:37,0.49302906,0
2023-03-09 23:54:38,0.5029507,0
2023-03-09 23:54:39,0.5223169,0
2023-03-09 23:54:40,0.41578674,0
2023-03-09 23:54:41,0.41386285,0
2023-03-09 23:54:42,0.40771535,0
2023-03-09 23:54:43,0.43150708,0
2023-03-09 23:54:44,0.40992942,0
2023-03-09 23:54:45,0.43486464,0
2023-03-09 23:54:46,0.43257222,0
2023-03-09 23:54:47,0.40432268,0
2023-03-09 23:54:48,0.4128041,0
2023-03-09 23:54:49,0.4092447,0
2023-03-09 23:54:50,0.41870704,0
2023-03-09 23:54:51,0.44216907,0
2023-03-09 23:54:52,0.45070124,0
2023-03-09 23:54:53,0.48680177,0
2023-03-09 23:54:54,0.4715978,0
2023-03-09 23:54:55,0.48920563,0
2023-03-09 23:54:56,0.44908634,0
2023-03-09 23:54:57,0.4661139,0
2023-03-09 23:54:58,0.48041588,0
2023-03-09 23:54:59,0.46216154,0
2023-03-09 23:55:00,0.44208938,0
2023-03-09 23:55:01,0.42739657,0
2023-03-09 23:55:02,0.4165702,0
2023-03-09 23:55:03,0.41642278,0
2023-03-09 23:55:04,0.42738947,0
2023-03-09 23:55:05,0.42963538,0
2023-03-09 23:55:06,0.42335415,0
2023-03-09 23:55:07,0.42075485,0
2023-03-09 23:55:08,0.42519772,0
2023-03-09 23:55:09,0.42412946,0
2023-03-09 23:55:10,0.38774788,0
2023-03-09 23:55:11,0.38685042,0
2023-03-09 23:55:12,0.37139136,0
2023-03-09 23:55:13,0.37668595,0
2023-03-09 23:55:14,0.3775555,0
2023-03-09 23:55:15,0.38507807,0
2023-03-09 23:55:16,0.39383286,0
2023-03-09 23:55:17,0.38480532,0
2023-03-09 23:55:18,0.3966358,0
2023-03-09 23:55:19,0.3841589,0
2023-03-09 23:55:20,0.59041893,0
2023-03-09 23:55:21,0.50895077,0
2023-03-09 23:55:22,0.50558704,0
2023-03-09 23:55:23,0.50069296,0
2023-03-09 23:55:24,0.5557984,0
2023-03-09 23:55:25,0.5406325,0
2023-03-09 23:55:26,0.5581219,0
2023-03-09 23:55:27,0.49152565,0
2023-03-09 23:55:28,0.4602766,0
2023-03-09 23:55:29,0.46528876,0
2023-03-09 23:55:30,0.40565136,0
2023-03-09 23:55:31,0.4060349,0
2023-03-09 23:55:32,0.4035197,0
2023-03-09 23:55:33,0.39515096,0
2023-03-09 23:55:34,0.40284964,0
2023-03-09 23:55:35,0.41608807,0
2023-03-09 23:55:36,0.41598988,0
2023-03-09 23:55:37,0.41683853,0
2023-03-09 23:55:38,0.4227475,0
2023-03-09 23:55:39,0.4263373,0
2023-03-09 23:55:40,0.5643349,0
2023-03-09 23:55:41,0.51298946,0
2023-03-09 23:55:42,0.48086923,0
2023-03-09 23:55:43,0.48307836,0
2023-03-09 23:55:44,0.49437267,0
2023-03-09 23:55:45,0.5042852,0
2023-03-09 23:55:46,0.52628,0
2023-03-09 23:55:47,0.5289066,0
2023-03-09 23:55:48,0.6289441,0
2023-03-09 23:55:49,0.6259501,0
2023-03-09 23:55:50,0.43222317,0
2023-03-09 23:55:51,0.41830155,0
2023-03-09 23:55:52,0.43286598,0
2023-03-09 23:55:53,0.43451864,0
2023-03-09 23:55:54,0.42374277,0
2023-03-09 23:55:55,0.4312603,0
2023-03-09 23:55:56,0.42647916,0
2023-03-09 23:55:57,0.42426533,0
2023-03-09 23:55:58,0.42755663,0
2023-03-09 23:55:59,0.41471368,0
2023-03-09 23:56:00,0.423121,0
2023-03-09 23:56:01,0.43876916,0
2023-03-09 23:56:02,0.4437393,0
2023-03-09 23:56:03,0.448194,0
2023-03-09 23:56:04,0.43925717,0
2023-03-09 23:56:05,0.45586938,0
2023-03-09 23:56:06,0.44297522,0
2023-03-09 23:56:07,0.43973354,0
2023-03-09 23:56:08,0.4261351,0
2023-03-09 23:56:09,0.4404564,0
2023-03-09 23:56:10,0.43769377,0
2023-03-09 23:56:11,0.45009896,0
2023-03-09 23:56:12,0.44118834,0
2023-03-09 23:56:13,0.42489102,0
2023-03-09 23:56:14,0.44670004,0
2023-03-09 23:56:15,0.42535892,0
